id,text
1,"A brave little fox named Fino lived in a sunny meadow. Fino loved to chase butterflies and roll in the tall grass."
2,"One day, a big gray cloud covered the sun. Fino felt a tiny drop of rain on his nose. He decided to find a cozy place to hide."
3,"He saw a big oak tree with a hollow at its base. 'Perfect!' he thought, and scampered inside just as the rain began to pour."
4,"Inside the tree, it was warm and dry. Fino curled up and listened to the gentle pitter-patter of the rain on the leaves."
5,"A friendly squirrel peeked in. 'Hello!' chattered the squirrel. 'My name is Squeaky. Would you like to share some of my nuts?'"
6,"Fino was happy to have a friend. They shared the nuts and told stories until the rain stopped and a bright rainbow appeared."
7,"The green frog hopped from one lily pad to another. He was looking for the juiciest fly in the entire pond."
8,"A shiny blue dragonfly buzzed by. 'Catch me if you can!' it hummed. The frog leaped, but the dragonfly was too fast."
9,"The sun set over the hills, painting the sky in shades of orange and pink. The little animals of the forest prepared for the night."
10,"A wise old owl hooted from a high branch. He watched over the forest, his big eyes glowing in the moonlight."
11,"The stars began to appear one by one. Each one twinkled like a tiny diamond on a dark velvet cloth."
12,"A gentle breeze rustled the leaves, whispering a lullaby to the sleeping creatures below. The forest was at peace."
